policy,family,worst_gap,worst_harm,worst_promise,mean_gap,n_cells,max_used,lw_ex_p99,lw_ex_max,lw_ratio_max,B0_base,eta,gam_base
CAPG-G600-B600-e0.9,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,600.0,0.9,0.0
CAPG-G1200-B600-e0.95,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,600.0,0.95,0.0
CAPG-G300-B600-e0.95,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.95,0.0
CAPG-G600-B600-e0.95,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,600.0,0.95,0.0
FIXG-B15,fixed,-0.006895775384270354,66.63522438704967,168.75,0.08117685220849186,15,0.4277290290933314,13.027096052765849,60.610576540231705,1.9358688371839563,15.0,0.0,0.0
FIXG-B17.99,fixed,-0.010902123144049649,66.63522438704967,169.4975,0.0920275976714299,15,0.4403084995395576,14.36496583461762,68.0265624076128,2.1309034192989165,17.99,0.0,0.0
FIXG-B21.576,fixed,-0.009417702332360027,66.63522438704967,170.394,0.10442717474800141,15,0.4421311345060756,14.147800002694169,68.0265624076128,2.1309034192989165,21.576,0.0,0.0
FIXG-B25.877,fixed,-0.010105324439033708,66.63522438704967,171.46925,0.11685818013983156,15,0.4644561283825469,16.005392448306107,68.32902494072914,2.1309034192989165,25.877,0.0,0.0
FIXG-B30,fixed,-0.010259460072518415,71.31791223585606,172.5,0.13076054882158425,15,0.5091464305325021,15.857784608602536,69.81109173595905,2.1274661502762533,30.0,0.0,0.0
FIXG-B31.035,fixed,-0.010299847750183888,71.31791223585606,172.75875,0.13393722046461515,15,0.5083419444277884,15.979382869005276,68.32902494072914,2.1274661502762533,31.035,0.0,0.0
FIXG-B37.222,fixed,-0.012634365526080214,71.31791223585606,174.3055,0.14750822417802947,15,0.5413164454492349,19.25177727565169,74.13097447156906,2.1429391612090205,37.222,0.0,0.0
FIXG-B44.641,fixed,-0.01225655845330382,80.544100522995,176.16025,0.15958638451908366,15,0.5385279278381779,22.18759451359512,87.13301292061806,2.3938051172761674,44.641,0.0,0.0
FIXG-B53.54,fixed,-0.01404007291746432,96.27659252285956,178.385,0.17547239510216392,15,0.5537664233264701,26.814779341220856,87.13301292061806,2.3938051172761674,53.54,0.0,0.0
FIXG-B60,fixed,-0.012862931181209507,96.27659252285956,180.0,0.1876945437225463,15,0.5779388825098674,31.342465717792603,95.35991561412813,2.3938051172761674,60.0,0.0,0.0
FIXG-B64.212,fixed,-0.010935595319748014,96.27659252285956,181.053,0.1967000966967752,15,0.5760271470270317,32.516567593812965,95.35991561412813,2.3938051172761674,64.212,0.0,0.0
FIXG-B77.012,fixed,-0.010076647043807533,96.28475818037988,184.253,0.21825349814765008,15,0.576484465647236,38.61638544499874,95.35991561412813,2.3938051172761674,77.012,0.0,0.0
FIXG-B92.363,fixed,-0.008409313835008736,102.65260392427444,188.09075,0.2460020228930198,15,0.5930565551554571,44.67017121240511,98.75215736031532,2.458514706388341,92.363,0.0,0.0
FIXG-B110.774,fixed,0.0008102077967995508,102.65260392427444,192.6935,0.2758651892965273,15,0.5995649408237561,48.736926063895226,106.05871514976025,2.657573219830469,110.774,0.0,0.0
FIXG-B120,fixed,0.0056937623708329665,102.65260392427444,195.0,0.29148564662201176,15,0.6195600686801804,52.84095153212547,111.52081236243248,2.684818046846136,120.0,0.0,0.0
FIXG-B132.855,fixed,0.017613688019871676,115.04210302233696,198.21375,0.31165509774315137,15,0.6193261552685443,55.356395587325096,111.51675541698933,2.684818046846136,132.855,0.0,0.0
FIXG-B159.338,fixed,0.03713210772801513,116.24955704808237,204.8345,0.3451866782731154,15,0.6890689193641025,62.60351228713989,134.94346728920937,2.836599815367202,159.338,0.0,0.0
FIXG-B191.099,fixed,0.062269027394468546,122.1587044596672,212.77475,0.37186031404729175,15,0.6941443453281133,70.79196036875251,135.12325976788998,2.836599815367202,191.099,0.0,0.0
FIXG-B229.192,fixed,0.09333656158556325,122.56411573290823,222.298,0.40429059808511336,15,0.7439014645374709,75.72111134499312,154.20928579568863,2.871494501945931,229.192,0.0,0.0
FIXG-B240,fixed,0.10057996290062055,122.56411573290823,225.0,0.4155479240399031,15,0.7343255106182326,78.1117945870757,154.20835722982883,3.0631401291836937,240.0,0.0,0.0
FIXG-B274.878,fixed,0.13263497195670215,127.60473261773586,233.7195,0.4460873892295109,15,0.7050233278339962,85.31260180473328,154.20234975218773,3.127260880436276,274.878,0.0,0.0
FIXG-B329.671,fixed,0.17611473061117577,131.80208165943623,247.41775,0.49525643822968385,15,0.7222563552743646,96.27340757995847,172.1987351477146,3.442389898133851,329.671,0.0,0.0
FIXG-B360,fixed,0.19912780487083367,151.18654473125935,255.0,0.5177018200749122,15,0.7664415251463652,104.5814033448696,183.94596603512764,3.4635960667489685,360.0,0.0,0.0
FIXG-B395.386,fixed,0.23103859284456404,151.3117827028036,263.8465,0.5403926116215114,15,0.7375411232943825,113.48732430711392,186.004727140069,3.6193266088800353,395.386,0.0,0.0
FIXG-B474.201,fixed,0.30179019112503036,178.8845456391573,283.55025,0.5795860705836978,15,0.7614382265925386,131.38770747706295,204.4844261109829,4.006779765488081,474.201,0.0,0.0
FIXG-B480,fixed,0.30666714509282017,178.8845456391573,285.0,0.582578360114257,15,0.7573497263369737,132.37748157978058,204.4844261109829,4.006779765488081,480.0,0.0,0.0
FIXG-B568.726,fixed,0.35335049865292745,194.4836902469397,307.1815,0.618092220021749,15,0.7508808261494871,152.0210375219584,223.89877106249327,4.705043241100704,568.726,0.0,0.0
FIXG-B600,fixed,0.36931054647286055,212.0439104884863,315.0,0.6277086833425591,15,0.7880653869112333,159.16916182249787,236.41961607337,4.4098121470806735,600.0,0.0,0.0
FIXG-B682.093,fixed,0.4237910080165488,222.3307863026857,335.52325,0.6582366462877236,15,0.7734658409799738,180.391520947218,249.1469958126545,4.762241129009168,682.093,0.0,0.0
FIXG-B818.058,fixed,0.5296545731765662,264.6717396527529,369.5145,0.6936918612048476,15,0.8182656973566635,212.24828647077084,290.0870545655489,5.3864292250539965,818.058,0.0,0.0
FIXG-B981.126,fixed,0.6094577797843618,288.1608457565308,410.2815,0.7154508227402203,15,0.8180427623844938,248.9072720058264,323.3571701794863,6.257485477185627,981.126,0.0,0.0
FIXG-B1176.7,fixed,0.6563729213433388,345.4542743712664,459.17475,0.7388611712469101,15,0.8328991663306748,296.3213639435172,364.8814511299133,6.828953638360218,1176.7,0.0,0.0
FIXG-B1411.26,fixed,0.6989982933456357,404.8773889541626,517.8140000000001,0.7576111613796233,15,0.87365298683739,354.81362367033955,439.2849529236555,7.503853272570121,1411.26,0.0,0.0
FIXG-B1692.57,fixed,0.7243944445791919,465.7279866486788,588.14225,0.7748656319896968,15,0.8580961099757436,423.6546675589681,491.8111351877451,8.635483938899586,1692.57,0.0,0.0
