overlay,level,k,policy,mode,late_submissions,n_jobs,n_dropped,offered_work_s,p99_dl_s,p99_dl_realised_window_s,n_dl_recorded,n_dl_realised,mean_s,p99_all_s,max_s,max_heavy_s,max_excess_s,harm_s,fired_fraction_queue_weighted,fired_pct,max_fcfs_own_s,seconds,drift_mean_s,drift_p50_s,drift_p99_s,drift_max_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,dl_arrivals_per_hour_max,busy_hour_work_s,rho_busy_hour,span_days,bound_violations,worst_ratio_to_bound,bmax_s,gap_closed,reduction_pct
2,2,4,FCFS,closed,kept,17634760,0,7048760.541504,71.34375810000026,71.68356343999992,4219556,4052992,2.700051582367438,62.07956546000005,536.385273,530.86987,0.0,0.0,1.0,100.0,536.385273,1.7,443.64650755904154,124.824942,3301.165032,6359.020428,0.013651787719254472,1128.2235294117647,7887.1500000000015,12189.0,13697.157103000038,0.9511914654861138,208.32049452150466,,nan,,0.0,0.0
0,2,4,Guard(600),closed,kept,17634760,0,7048760.541504,40.42149370000005,40.34823558000011,4219556,4144739,1.2521239747614372,31.222883740000015,1074.302935,1074.302935,510.849448,252.304844,0.002666207025355153,0.009356520871279224,631.34312,7.1,182.1763893157121,57.693582,1479.644789,5204.794984,0.007981169009388276,1141.654761904762,7840.750000000003,12394.0,13449.771222999872,0.9340118904861022,208.32048956768517,0,0.8991348319132842,1800.0,0.8105124864994608,45.51734951559948
1,2,4,Guard(600),closed,kept,17634760,0,7048760.541504,39.92350680000003,39.75384679999985,4219556,4141221,1.2734713418600536,31.20622406000001,1019.063791,1019.063791,496.074674,246.544349,0.002938968082382851,0.010235466771308484,568.682283,7.9,189.01540148146404,63.486584,1485.87526,4980.10476,0.008197446406982573,1130.036422067488,7799.420000000009,12940.0,13370.451084000148,0.9285035475000103,208.32048956768517,0,0.8901941246144949,1800.0,0.7951840414789748,41.8585909117816
2,2,4,Guard(600),closed,kept,17634760,0,7048760.541504,40.25530510000021,40.05577592,4219556,4142305,1.2604343394386428,31.161914570000025,1023.025639,1023.025639,505.481904,261.830415,0.002559557947061718,0.0088404945686814,550.213977,6.6,185.69811841838592,58.863368,1478.414031,5102.624814,0.008125939905051161,1131.248257372654,7971.530000000002,12182.0,12774.392939000087,0.8871106207638949,208.32049452150466,0,0.9011985210052068,1800.0,0.823803823962767,43.57557525414398
0,2,4,SJF,closed,kept,17634760,0,7048760.541504,32.52649645000005,32.56370092999995,4219556,4164690,0.9745041250868172,25.815244540000013,4234.335264,4234.335264,3436.498156,1648.255938,0.0,0.0,1129.492392,1.8,137.431168148784,51.187362,966.06183,5142.866048,0.0067777503067804725,1141.9637347767252,7863.319999999999,12222.0,12779.126077000128,0.8874393109027867,208.32048956768517,,nan,,1.0,56.15872706932041
1,2,4,SJF,closed,kept,17634760,0,7048760.541504,32.52023200000007,32.53779068999998,4219556,4163630,0.997943519966929,26.283619550000022,3477.522675,3477.522675,2872.542439,1523.162696,0.0,0.0,823.708688,1.7,144.0670938196294,58.382007,984.3984358600003,4322.594354,0.006844266664247202,1131.248257372654,7771.270000000001,12801.0,12679.420356999985,0.8805153025694433,208.32048956768517,,nan,,1.0,52.640129489933145
2,2,4,SJF,closed,kept,17634760,0,7048760.541504,33.60606850000013,33.611234720000105,4219556,4162385,1.0363892126274472,26.99421723,3152.186359,3152.186359,2706.219092,1708.884058,0.0,0.0,895.911454,1.8,145.42978632383264,56.0110375,1025.601477,4075.461642,0.006923938857120822,1130.9450549450548,8028.4999999999845,12218.0,12255.902817999817,0.8511043623610984,208.32049452150466,,nan,,1.0,52.89557293450174
0,2,4,SPJF-E,closed,kept,17634760,0,7048760.541504,38.49561780000022,38.45505485999998,4219556,4150707,1.139775532320315,29.722158590000014,5783.219581,5783.219581,5400.385192,590.335556,0.0,0.0,515.559308,1.8,168.47829015892006,57.594592,1295.595725390003,6306.612604,0.00762800287613781,1141.9637347767252,7866.599999999999,12358.0,14237.355832999903,0.9887052661805489,208.32048956768517,,nan,,0.8567353570142772,48.11316708520159
1,2,4,SPJF-E,closed,kept,17634760,0,7048760.541504,38.45144940000012,38.40338895999998,4219556,4149204,1.1476487272136962,29.908932950000015,3703.609075,3703.609075,3488.306578,789.733851,0.0,0.0,492.916548,1.8,171.93669237755807,62.404302,1271.801921,4895.39075,0.007716010878514933,1130.9450549450548,7867.299999999984,12836.0,13701.475264000124,0.9514913377777864,208.32048956768517,,nan,,0.8359093766210596,44.00237782718187
2,2,4,SPJF-E,closed,kept,17634760,0,7048760.541504,39.37940295000001,39.26470929999959,4219556,4147323,1.1727127409946607,30.326995160000042,3003.615236,3003.615236,2927.460837,954.871018,0.0,0.0,453.341023,1.8,174.01735506596142,61.222417,1284.983925,4667.220538,0.00782505687630566,1131.551622418879,7905.919999999998,12326.0,13123.782914999982,0.9113738135416654,208.32049452150466,,nan,,0.8470140988705398,44.8032960433579
0,2,4,FCFS,open,kept,17634760,0,7048760.541504,263.1202411500015,263.1202411500015,4219556,4219556,10.098658702753482,210.5271226000006,1544.602708,1542.754531,0.0,0.0,1.0,100.0,1544.602708,1.8,0.0,0.0,0.0,0.0,0.003425734175004366,1146.6184782608696,7919.84,12247.0,15247.543182999892,1.0588571654861036,208.32048956768517,,nan,,0.0,0.0
1,2,4,FCFS,open,kept,17634760,0,7048760.541504,277.8373296000014,277.8373296000014,4219556,4219556,10.865231783045077,260.37685858000003,1285.288804,1268.687522,0.0,0.0,1.0,100.0,1285.288804,1.8,0.0,0.0,0.0,0.0,0.003425734175004366,1133.9844127922602,7787.600000000001,12842.0,14232.98276799982,0.9884015811110985,208.32048956768517,,nan,,0.0,0.0
2,2,4,FCFS,open,kept,17634760,0,7048760.541504,264.66936870000046,264.66936870000046,4219556,4219556,10.30778653955557,227.5138038300001,1130.63053,1127.746425,0.0,0.0,1.0,100.0,1130.63053,1.7,0.0,0.0,0.0,0.0,0.003425734175004366,1134.289247311828,8000.229999999996,12156.0,14114.958100999918,0.9802054236805499,208.32048956768517,,nan,,0.0,0.0
