overlay,level,k,policy,n,sigma_s,bound_abs_s,bound_prearrival_s,max_wait_s,ratio_max_wait_over_bound_abs,per_job_violations,ties,min_slack_s,promise_named_s,promise_own_s,violations_own_constant,bound_kind,sim_seconds
1,1,5,Skip(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,852.409479,0.566126514527279,0,0,569.0556892000001,600.0,600.0,0,non-strict,11.5
1,1,5,Guard(1200),17634760,4288.436287,2105.6872574,2105.6029964,1897.895287,0.9013186931393737,0,0,161.525118,1200.0,1200.0,0,strict,21.0
1,1,5,Guard-queue(1200),17634760,4288.436287,2105.6872574,2105.6029964,1897.895287,0.9013186931393737,0,0,161.525118,1200.0,1200.0,0,strict,21.0
1,1,5,Guard-fixed(1200),17634760,4288.436287,2105.6872574,2105.6029964,1389.425158,0.6598440262755803,0,0,695.893895,1200.0,1200.0,0,strict,20.0
1,1,5,Guard-age(1200),17634760,4288.436287,2105.6872574,2105.6029964,1899.387608,0.9020274028467415,0,0,160.69721140000001,1200.0,1200.0,0,strict,19.8
1,1,5,Fixed(1200),17634760,4288.436287,2105.6872574,2105.6029964,1899.448677,0.9020564047793815,0,0,160.2411638,1200.0,1200.0,0,strict,20.8
1,1,5,Skip(1200),17634760,4288.436287,2105.6872574,2105.6029964,854.536273,0.40582297774605897,0,0,1139.5174052,1200.0,1200.0,0,non-strict,11.1
1,2,4,FCFS,17634760,5146.078916,1331.519729,1331.42434575,1285.288804,0.9652795794210871,0,0,33.662307,0.0,0.0,0,non-strict,10.3
1,2,4,SJF,17634760,5146.078916,,,4497.847934,,,,,,,,none,10.3
1,2,4,SPJF-E,17634760,5146.078916,,,5393.401163,,,,,,,,none,10.0
1,2,4,Aging(600),17634760,5146.078916,,,1334.438717,,,,,,,,none,11.2
1,2,4,Guard(300),17634760,5146.078916,1631.519729,1631.42434575,1435.719702,0.8799891760303684,0,0,137.54295425,300.0,300.0,0,strict,21.0
1,2,4,Guard-age(300),17634760,5146.078916,1631.519729,1631.42434575,1435.719702,0.8799891760303684,0,0,137.54295425,300.0,300.0,0,strict,21.0
1,2,4,Guard-fixed(300),17634760,5146.078916,1631.519729,1631.42434575,1368.066546,0.8385228334557271,0,0,203.49429375,300.0,300.0,0,strict,20.3
1,2,4,Guard-queue(300),17634760,5146.078916,1631.519729,1631.42434575,1435.720139,0.8799894438787996,0,0,137.55810325,300.0,300.0,0,strict,21.1
1,2,4,Fixed(300),17634760,5146.078916,1631.519729,1631.42434575,1435.478819,0.8798415327038929,0,0,137.55804325,300.0,300.0,0,strict,21.0
1,2,4,Skip(300),17634760,5146.078916,1631.519729,1631.42434575,1286.286491,0.7883977546433948,0,0,279.63223125,300.0,300.0,0,non-strict,12.4
1,2,4,Guard(600),17634760,5146.078916,1931.519729,1931.42434575,1735.599059,0.8985665706342882,0,0,137.84709,600.0,600.0,0,strict,20.5
1,2,4,Guard-age(600),17634760,5146.078916,1931.519729,1931.42434575,1735.599059,0.8985665706342882,0,0,137.84709,600.0,600.0,0,strict,20.5
1,2,4,Guard-fixed(600),17634760,5146.078916,1931.519729,1931.42434575,1530.673054,0.7924708357975048,0,0,342.8399005,600.0,600.0,0,strict,21.4
1,2,4,Guard-queue(600),17634760,5146.078916,1931.519729,1931.42434575,1735.5741,0.8985536486849935,0,0,137.847649,600.0,600.0,0,strict,20.8
1,2,4,Fixed(600),17634760,5146.078916,1931.519729,1931.42434575,1735.6429,0.8985892683056307,0,0,139.5942275,600.0,600.0,0,strict,20.2
1,2,4,Skip(600),17634760,5146.078916,1931.519729,1931.42434575,1287.498141,0.6665726068801651,0,0,551.617184,600.0,600.0,0,non-strict,11.4
1,2,4,Guard(1200),17634760,5146.078916,2531.519729,2531.42434575,2349.97968,0.9282881160591578,0,0,151.64237875,1200.0,1200.0,0,strict,17.2
1,2,4,Guard-queue(1200),17634760,5146.078916,2531.519729,2531.42434575,2349.97968,0.9282881160591578,0,0,151.64237875,1200.0,1200.0,0,strict,17.2
1,2,4,Guard-fixed(1200),17634760,5146.078916,2531.519729,2531.42434575,1793.12533,0.7083197138298898,0,0,687.11286925,1200.0,1200.0,0,strict,18.7
1,2,4,Guard-age(1200),17634760,5146.078916,2531.519729,2531.42434575,2334.578431,0.9222043202966481,0,0,149.27373825,1200.0,1200.0,0,strict,20.1
1,2,4,Fixed(1200),17634760,5146.078916,2531.519729,2531.42434575,2348.442492,0.9276808966160738,0,0,149.56977825,1200.0,1200.0,0,strict,19.8
1,2,4,Skip(1200),17634760,5146.078916,2531.519729,2531.42434575,1290.248854,0.5096736317001462,0,0,1085.1319325,1200.0,1200.0,0,non-strict,11.6
2,0,8,FCFS,17634760,3123.856186,442.98202325,441.63958175,379.761467,0.8572841493969134,0,0,41.86820225,0.0,0.0,0,non-strict,9.8
2,0,8,SJF,17634760,3123.856186,,,806.239382,,,,,,,,none,9.7
2,0,8,SPJF-E,17634760,3123.856186,,,963.406231,,,,,,,,none,9.7
2,0,8,Aging(600),17634760,3123.856186,,,445.44115,,,,,,,,none,9.5
2,0,8,Guard(300),17634760,3123.856186,742.98202325,741.63958175,552.816936,0.7440515634306096,0,0,173.479847625,300.0,300.0,0,strict,20.0
2,0,8,Guard-age(300),17634760,3123.856186,742.98202325,741.63958175,552.816936,0.7440515634306096,0,0,173.479847625,300.0,300.0,0,strict,20.0
2,0,8,Guard-fixed(300),17634760,3123.856186,742.98202325,741.63958175,482.99078,0.6500706139393124,0,0,228.057922375,300.0,300.0,0,strict,19.3
2,0,8,Guard-queue(300),17634760,3123.856186,742.98202325,741.63958175,552.73359,0.7439393857501384,0,0,173.866681375,300.0,300.0,0,strict,20.1
2,0,8,Fixed(300),17634760,3123.856186,742.98202325,741.63958175,552.754922,0.7439680970773743,0,0,173.496161625,300.0,300.0,0,strict,19.2
2,0,8,Skip(300),17634760,3123.856186,742.98202325,741.63958175,380.480632,0.5120993780383502,0,0,300.849048,300.0,300.0,0,non-strict,10.5
2,0,8,Guard(600),17634760,3123.856186,1042.98202325,1041.63958175,738.939095,0.7084868948147519,0,0,190.018766375,600.0,600.0,0,strict,19.6
2,0,8,Guard-age(600),17634760,3123.856186,1042.98202325,1041.63958175,738.939095,0.7084868948147519,0,0,190.018766375,600.0,600.0,0,strict,19.6
2,0,8,Guard-fixed(600),17634760,3123.856186,1042.98202325,1041.63958175,636.832736,0.610588410733665,0,0,360.0739135,600.0,600.0,0,strict,20.2
2,0,8,Guard-queue(600),17634760,3123.856186,1042.98202325,1041.63958175,738.968822,0.7085153967441595,0,0,186.966984875,600.0,600.0,0,strict,18.7
2,0,8,Fixed(600),17634760,3123.856186,1042.98202325,1041.63958175,736.42478,0.7060761965055278,0,0,179.628821875,600.0,600.0,0,strict,16.4
2,0,8,Skip(600),17634760,3123.856186,1042.98202325,1041.63958175,381.513274,0.3657908434616924,0,0,589.9833075,600.0,600.0,0,non-strict,8.8
2,0,8,Guard(1200),17634760,3123.856186,1642.98202325,1641.63958175,772.169298,0.4699803692754737,0,0,680.6602535,1200.0,1200.0,0,strict,15.9
2,0,8,Guard-queue(1200),17634760,3123.856186,1642.98202325,1641.63958175,772.169298,0.4699803692754737,0,0,680.6602535,1200.0,1200.0,0,strict,15.9
2,0,8,Guard-fixed(1200),17634760,3123.856186,1642.98202325,1641.63958175,782.959728,0.4765479578718817,0,0,715.540718375,1200.0,1200.0,0,strict,17.6
2,0,8,Guard-age(1200),17634760,3123.856186,1642.98202325,1641.63958175,973.575028,0.5925658432185161,0,0,436.206495875,1200.0,1200.0,0,strict,20.4
2,0,8,Fixed(1200),17634760,3123.856186,1642.98202325,1641.63958175,963.406231,0.5863766111660041,0,0,397.48526975,1200.0,1200.0,0,strict,24.7
2,0,8,Skip(1200),17634760,3123.856186,1642.98202325,1641.63958175,383.804139,0.2336021536259983,0,0,1174.45862,1200.0,1200.0,0,non-strict,12.8
