trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
primary,"0,1",0.8,mean,SPJF-hurdle - SPJF-M4,0.002826366597731944,0.0011820812832644772,0.005746627630207508,True,SPJF-hurdle better,1.2065139099596185,1.2158426588119644,-0.7672661248340561
primary,"0,1",0.8,mean,SPJF-q50 - SPJF-M4,-0.02195943530142852,-0.026260784993703483,-0.018843520427650157,True,SPJF-M4 better,1.2870812371071492,1.2158426588119644,5.859193850361697
primary,"0,1",0.8,mean,SPJF-q90 - SPJF-M4,-0.017009505644525413,-0.025287156212352772,-0.013018579205886843,True,SPJF-M4 better,1.270989455113327,1.2158426588119644,4.5356852633586735
primary,"0,1",0.8,mean,SPJF-q99 - SPJF-M4,-0.022582295587087686,-0.03218614130974742,-0.015285612344067593,True,SPJF-M4 better,1.2889812643549026,1.2158426588119644,6.015466311603513
primary,"0,1",0.8,mean,SPJF-phv - SPJF-M4,-0.0019038315041481901,-0.0028245836467004014,9.428744818873395e-06,False,unresolved,1.2218723143484096,1.2158426588119644,0.49592399910831736
primary,"0,1",0.8,mean,SPJF-logvar - SPJF-M4,0.0013374386283866446,0.0001852536546850581,0.0030608379637868223,True,SPJF-logvar better,1.2113593107750211,1.2158426588119644,-0.3687440973097696
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.02 - SPJF-M4,-0.19900674853094968,-0.22221684841107875,-0.1815562505331521,True,SPJF-M4 better,1.8620693274916018,1.2158426588119644,53.1505177907711
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.02 - SPJF-M4,0.0035476273952554926,0.0025756455999801893,0.004718361342339835,True,2CLASS-SPJF-tau0.02 better,1.2042499236536024,1.2158426588119644,-0.9534733030085992
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.02 - SPJF-M4,0.0051705855389621025,0.0033507374467129925,0.008219130529367713,True,2CLASS-TWEEDIE-tau0.02 better,1.1989414643549496,1.2158426588119644,-1.3900807258670642
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.05 - SPJF-M4,-0.12264927183389995,-0.13892626015952386,-0.1143398729101393,True,SPJF-M4 better,1.613977803238681,1.2158426588119644,32.7456140431646
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.05 - SPJF-M4,0.002423686391853974,0.0012554949286450179,0.004208322845802759,True,2CLASS-SPJF-tau0.05 better,1.2079721023888217,1.2158426588119644,-0.6473334658970814
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.05 - SPJF-M4,0.004700379440321978,0.0030338406684804254,0.0075689666599200916,True,2CLASS-TWEEDIE-tau0.05 better,1.2004032178748845,1.2158426588119644,-1.2698551761760253
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.1 - SPJF-M4,-0.11388867674402925,-0.13274111635242739,-0.10527353458671444,True,SPJF-M4 better,1.5853349455121704,1.2158426588119644,30.389811051805644
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.1 - SPJF-M4,0.0004023844240604868,-0.0006283049711128863,0.001710818214023546,False,unresolved,1.214549374171618,1.2158426588119644,-0.10636940816092924
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.1 - SPJF-M4,0.0034380744106412564,0.0019278584820779042,0.006112506960178307,True,2CLASS-TWEEDIE-tau0.1 better,1.2044536085503954,1.2158426588119644,-0.9367207326561132
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.2 - SPJF-M4,-0.106757287765327,-0.12674082350731491,-0.0980058462419199,True,SPJF-M4 better,1.5620375226593617,1.2158426588119644,28.473656631333736
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.2 - SPJF-M4,-9.126032351980395e-05,-0.0009066345942014359,0.0005689444179936244,False,unresolved,1.216075038477689,1.2158426588119644,0.01911264290987387
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.2 - SPJF-M4,0.003982526054456037,0.002578857064285872,0.006345466579649342,True,2CLASS-TWEEDIE-tau0.2 better,1.2027222106123063,1.2158426588119644,-1.079123857397671
