trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,1,p99dl,red_pct,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,60.247802447556744,52.28380153521462,64.27942957334605,True,CAP-G1200 better
primary,1,p99dl,gain,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.0008166654275767564,-0.0001145156046150944,0.003337212749760146,False,unresolved
primary,1,p99dl,red_pct,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.0585277794002903,-0.009396436544659402,0.22841630757176998,False,unresolved
primary,1,p99dl,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-0.05098092118506825,-0.11224611655976864,0.015696624880343124,False,unresolved
primary,1,p99dl,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-3.653385687463242,-7.606527864370872,1.2775787133382144,False,unresolved
primary,1,p99dl,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.11534218727315987,-0.15477336828456237,-0.07870448283779094,True,SPJF-random better
primary,1,p99dl,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-8.276922587415008,-11.653551235947392,-5.402442702694104,True,SPJF-random better
primary,1,p99dl,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-0.11607497370640596,-0.14533882486578117,-0.07927058849968219,True,SPJF-top1short better
primary,1,p99dl,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-8.36301597974672,-10.186232337401607,-5.832406837466615,True,SPJF-top1short better
primary,1,mean,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.006581295157809031,0.004517014449710835,0.010044643485621093,True,SPJF-tweedie better
